ASIMETRIA1,BORDE1,DIAMETRO1,C_COLOR,P_WHITE,P_RED,P_LIGHT_BROWN,P_DARK_BROWN,P_GRAY_BLUE,P_BLACK,ASIMETRIA2A,ASIMETRIA2B,BORDE2,DIAMETRO2,2DO_MOMENT_ANGULAR,CONTRASTE,CORRELACION,SUM_CUAD,MOMENT_DIF_INV,SUM_PROM,SUM_VAR,SUM_ENTROP,ENTROPIA,DIF_VAR,DIF_ENTROP,MEDIDA_CORRELACION,INF_CORRELACION,TARGET
13.81900345,0.032809833,370.0013513,2,0,12.15978132,0.681238188,0.020287658,0,0,0.096288112,0.099750539,0.876857666,4.566795736,0.423468802,89.58878626,0.991015918,4985.539816,0.762616105,102.3785002,19852.57048,3.314009821,4.293093802,0.002565185,1.760957437,-0.541331041,0.978923241,2
20.81276292,0.108153989,363.0895206,4,0,0.945267651,10.50464368,51.11057678,0,37.9985573,0.239925956,0.236320154,0.698375218,3.84944984,0.564610191,51.57103565,0.970389565,870.6952198,0.828405954,27.05385394,3431.209844,2.712445683,3.448370562,0.003338029,1.455388848,-0.5947311,0.97244201,2
24.06242784,0.185975954,317.8443015,4,0,6.485302002,10.05431615,24.6031191,0,0.16551274,0.371658697,0.37587125,0.699400591,3.090752295,0.704721302,55.54146425,0.984943635,1844.168363,0.875640286,36.21544135,7321.131989,1.861453734,2.438234928,0.003423934,1.168590521,-0.557924213,0.920981902,1
19.91856636,0.111397139,336.4000595,2,0,0,2.420681551,25.44569414,0,0,0.200618419,0.200129688,0.777803131,3.64220629,0.604412712,61.20085299,0.988144995,2580.88666,0.855967175,53.21019461,10262.34579,2.393885499,3.005125228,0.003673167,1.247256024,-0.607058484,0.962718421,2
120.4107117,0.328102897,460.001087,3,0,79.88881705,1.138452567,1.243043142,0,0,0.157872781,0.155161853,0.765596172,5.927157066,0.170340888,111.1943869,0.985075495,3725.43205,0.575921024,137.6866487,14790.53381,5.473617045,7.330583947,0.001236369,2.675582741,-0.497776546,0.996000575,2
15.22066513,0.084318665,276.7977601,3,0,52.17294955,1.610321818,16.40115234,0,0,0.138624984,0.14505198,0.72741371,3.007345158,0.719127303,100.386124,0.982500251,2867.823416,0.884586666,42.5744496,11370.90754,1.88472577,2.391867291,0.003339648,1.074776012,-0.612092399,0.93726458,2
20.93207211,0.12625538,321.5602587,3,0,71.0246911,14.36968355,10.70016764,0,0,0.264242967,0.270891867,0.733039078,3.280202993,0.671260393,54.70295388,0.981595046,1485.891197,0.861764038,34.85980711,5888.861836,2.043259737,2.711425476,0.004320535,1.292949726,-0.538481356,0.929334793,2
22.69438676,0.084922917,422.2712398,2,0,16.15849587,22.15416937,0.031157917,0,0,0.225178844,0.181279451,0.803868733,5.001503218,0.337995486,94.94419677,0.990727786,5119.531867,0.747502804,120.2851345,20383.18327,3.792603303,4.787367366,0.002589318,1.798979901,-0.568630089,0.988661103,2
40.51045186,0.18851242,561.8985674,3,0,3.93807443,42.29794984,12.12492252,0,0.037498182,0.115940119,0.108219004,0.680391148,5.394406512,0.263137297,98.95284299,0.988235429,4205.441565,0.650732048,122.7567975,16722.81342,4.610883986,6.091077662,0.001770361,2.339247798,-0.515691688,0.992513903,1
27.4365606,0.097668074,512.5436567,2,0,0.000705248,0.973948122,52.90209741,0,0,0.235860418,0.225056123,0.724039477,5.619266986,0.222529738,80.84850898,0.982816428,2352.511841,0.659318283,98.97085307,9329.198856,4.694777842,6.07266616,0.002275165,2.166308151,-0.538934466,0.994180943,2
